min,max,mean,std
0,0,0,0
0,65534,61452.7,14352.6
0,65530,61375,14507.5
0,65527,61299.6,14661.6
0,65524,61297.6,14662.3
0,65532,61302.8,14663.5
0,65535,61376.6,14507.9
0,65526,61457.7,14351.3
0,65528,61298.7,14662.9
0,65529,61381.7,14508.8
0,65535,61376.6,14508.5
0,65534,61379.2,14508
0,65507,61459.6,14350.8
0,65437,61144.7,14965.1
0,65533,61457.1,14353.7
0,65530,61301.6,14662.9
0,65529,61300.1,14663.3
0,65530,61454.8,14350.9
0,65527,61455,14352.7
0,65534,61454.2,14352.3
0,65532,61378.8,14508.9
0,65534,61298.6,14662.3
0,65530,61298.1,14662.3
0,65529,61378.9,14509
0,65535,61302.4,14663.2
0,65530,61456.4,14352.1
0,65529,61301,14662.9
0,65523,61456.6,14352.2
0,65527,61301.1,14662.7
0,65534,61534.6,14195
0,65533,61458.4,14351.8
0,65533,61299.2,14662.5
0,65522,61379.2,14507.1
0,65534,61461.5,14353.1
0,65532,61377.3,14508.3
0,65532,61456.6,14351.9
0,65530,61300,14662.7
0,65528,61456.6,14352
0,65533,61459.7,14352.3
0,65523,61301.1,14662.5
0,65509,61301,14661.8
0,65528,61456.2,14351
0,65533,61221.9,14814
0,65528,61305.7,14663.3
0,65533,61457.7,14352.5
0,65534,61456.4,14351.8
0,65535,61535.1,14193.6
0,65534,61380.7,14509
0,65531,61457.7,14351.8
0,65530,61302.3,14663.7
0,65533,61379,14509.3
0,65522,61378.8,14508.8
0,65525,61378.9,14507.3
0,65532,61375,14507.6
0,65417,61141.3,14963.6
0,65531,61378.9,14508.9
0,65532,61377.6,14508.5
0,65524,61455.3,14353.1
0,65523,61457.4,14351.6
0,65529,61456.8,14353
0,65492,61305.2,14662.8
0,65533,61382,14509.4
0,65531,61456.4,14351.9
0,65533,61303.8,14663.5
0,65522,61455.7,14350.9
0,65506,61299.5,14662.4
0,65529,61219.9,14814.3
0,65535,61380.3,14507.8
0,65534,61535.2,14195.4
0,65534,61377.8,14507.8
0,65535,61380,14508.7
0,65520,61457,14351.7
0,65532,61459,14353.3
0,65480,61301.8,14662.2
0,65535,61299.2,14662.3
0,65525,61224,14814.6
0,65534,61378.8,14508.6
0,65529,61460.8,14351.4
0,65514,61455,14353.1
0,65531,61377.1,14506.7
0,65530,61455.8,14352.6
0,65523,61455.1,14353.4
0,65525,61304.3,14663.4
0,65526,61456.4,14351.2
0,65529,61302.7,14663.7
0,65535,61380,14509
0,65526,61377.6,14508.7
0,65526,61457.2,14352.9
0,65533,61461.1,14352.6
0,65533,61457.5,14349.9
0,65516,61456.3,14353.4
0,65507,61457.8,14350.9
0,65534,61456.4,14353.1
0,65529,61378.6,14508.3
0,65514,61460.7,14352.8
0,65534,61458.5,14352
0,65510,61299,14661.8
0,65515,61458.6,14351.6
0,65532,61298.6,14662.3
0,65533,61534.1,14194.1
0,65532,61221.9,14815.3
0,65524,61455.6,14353.7
0,65535,61457.4,14353.3
0,65532,61302,14663.1
0,65525,61462.2,14352.7
0,65535,61453.3,14352.5
0,65527,61300,14662.7
0,65528,61221.9,14814.7
0,65533,61300.6,14662.9
0,65529,61300.8,14662.3
0,65534,61613.8,14033.9
0,65534,61461,14353.6
0,65524,61457.1,14353.7
0,65534,61378,14508.6
0,65528,61225.1,14815.1
0,65518,61221.1,14814.7
0,65533,61304.8,14664.5
0,65422,61140.8,14964.2
0,65529,61299.9,14661.3
0,65535,61302.3,14663
0,65534,61456.7,14352.4
0,65532,61455.9,14351.4
0,65534,61458.5,14352.3
0,65533,61455,14351.8
0,65491,61304.9,14661.8
0,65533,61297.4,14661.7
0,65531,61378.5,14508.5
0,65527,61456,14353.6
0,65530,61455.9,14352.2
0,65529,61458.4,14351.9
0,65532,61377.8,14508.7
0,65533,61456.9,14352.7
0,65529,61457.5,14351.4
0,65535,61534.8,14194.1
0,65529,61460.2,14351.5
0,65535,61458.4,14352.2
0,65503,61301.9,14663.1
0,65520,61457.5,14351.2
0,65532,61457.4,14352.1
0,65528,61221.6,14814.3
0,65525,61300.9,14663.2
0,65496,61299.3,14661.7
0,65532,61378.4,14508.7
0,65535,61455.9,14351.6
0,65505,61455.5,14350.8
0,65518,61459.6,14349.3
0,65533,61379.6,14508.7
0,65535,61379.7,14508.4
0,65532,61381.8,14509.6
0,65532,61379.8,14508.9
0,65534,61458.8,14353.4
0,65532,61378.2,14509.4
0,65534,61300.9,14663.1
0,65534,61301,14663.2
0,65534,61379.9,14509
0,65529,61459.8,14352.8
0,65517,61455.5,14350.2
0,65534,61456.6,14352.7
0,65516,61455.7,14351.8
0,65534,61221.1,14814.6
0,65426,61143,14965
0,65533,61378.4,14509.1
0,65534,61380.1,14509.3
0,65534,61381.9,14508.9
0,65532,61299.5,14662.3
0,65491,61299.4,14662.6
0,65532,61533.4,14193.6
0,65517,61380.5,14509.4
0,65530,61457.4,14352.6
0,65527,61301.6,14662.4
0,65526,61222.4,14815.4
0,65535,61457.2,14353.1
0,65534,61300.7,14663.1
0,65533,61455.8,14351.7
0,65531,61455.6,14351.8
0,65530,61456.9,14352.4
0,65531,61459.5,14352.7
0,65535,61536.7,14194.2
0,65424,61144.4,14964.9
0,65530,61300.7,14662.6
0,65530,61459.3,14351.4
0,65527,61457.6,14351.4
0,65530,61377.2,14507.6
0,65534,61380.2,14509.9
0,65531,61299.5,14662.4
0,65533,61376.8,14508.1
0,65535,61303.5,14663.2
0,65526,61456.4,14351.8
0,65535,61380.7,14508.7
0,65534,61378.4,14508.6
0,65533,61378.9,14509.6
0,65531,61223.3,14814.5
0,65534,61457.2,14352.7
0,65532,61301.4,14662.5
0,65532,61455.2,14351.4
0,65529,61301.7,14662.7
0,65535,61379.8,14507.9
0,65522,61302.9,14663
0,65534,61301,14662.1
0,65532,61221.6,14814.3
0,65529,61377.2,14508.6
0,65535,61378.7,14508.3
0,65532,61456.9,14352.8
0,65535,61301.8,14663.1
0,65532,61378,14508.8
0,65528,61537.1,14191.8
0,65529,61455.9,14352.6
0,65532,61457.8,14351.3
0,65526,61456.8,14352.1
0,65532,61455,14352.1
0,65526,61379.2,14508.4
0,65518,61457.9,14350.8
0,65533,61299.6,14662.7
0,65532,61221.1,14814.5
0,65530,61223.1,14814.9
0,65533,61379,14508.6
0,65522,61221.6,14815.3
0,65532,61457.3,14352.8
0,65526,61222.7,14815
0,65522,61303.7,14662.8
0,65535,61376.1,14508.7
0,65529,61454.9,14350.6
0,65535,61380.4,14508.9
0,65533,61378.1,14508.3
0,65535,61457.5,14352.5
0,65531,61454.8,14351.7
0,65528,61224,14815.4
0,65420,61146.7,14964.9
0,65524,61222,14814.8
0,65533,61300.2,14662.3
0,65535,61301.9,14662.4
0,65532,61298.5,14662.7
0,65524,61222.3,14814
0,65515,61223,14814.6
0,65535,61376.7,14508.6
0,65532,61379.1,14508.4
0,65425,61148.1,14966
0,65535,61301.3,14662.2
0,65525,61219.8,14814.2
0,65532,61303.1,14663.2
0,65525,61298.4,14662.4
0,65530,61302.9,14663.4
0,65530,61456.2,14352.2
0,65531,61456.7,14353.2
0,65531,61381.1,14509.6
0,65533,61299.4,14662.5
0,65534,61377.5,14508.1
0,65525,61380.4,14508
0,65523,61296.2,14661.7
